epoch,accuracy,f1_score,recall,precision
1,0.655612,0.785941,0.73505,0.844404
2,0.668878,0.794764,0.745347,0.851199
3,0.679082,0.803166,0.763564,0.8471
4,0.69949,0.815579,0.767129,0.870562
5,0.675,0.804231,0.767921,0.844145
6,0.690306,0.80684,0.756832,0.863924
7,0.692857,0.808332,0.760792,0.862208
8,0.706633,0.821533,0.776634,0.871943
9,0.681122,0.812101,0.781386,0.84533
10,0.702041,0.822976,0.797228,0.850444
11,0.698469,0.81949,0.789307,0.852074
12,0.692857,0.815895,0.764356,0.874887
13,0.693367,0.82167,0.792871,0.852641
14,0.713776,0.826995,0.783762,0.875276
15,0.69898,0.820705,0.778614,0.867608
16,0.671429,0.807985,0.777426,0.841045
17,0.683163,0.817661,0.792079,0.844951
18,0.702041,0.816198,0.770297,0.867916
19,0.706122,0.822493,0.776238,0.87461
20,0.697959,0.820041,0.794059,0.84778
21,0.710714,0.825535,0.786139,0.869089
22,0.703061,0.824063,0.792079,0.858738
23,0.707143,0.822485,0.770693,0.88174
24,0.690816,0.812539,0.769901,0.860177
25,0.696939,0.818239,0.778218,0.862599
26,0.718367,0.830859,0.786931,0.879982
27,0.703571,0.827374,0.797228,0.859889
28,0.706633,0.830839,0.802376,0.861395
29,0.706633,0.826212,0.796436,0.858301
30,0.709694,0.830258,0.80198,0.860603
31,0.715306,0.829268,0.794455,0.867272
32,0.710204,0.82615,0.785743,0.870939
33,0.712755,0.826432,0.782574,0.875498
34,0.706122,0.827756,0.798416,0.859335
35,0.712755,0.829971,0.798416,0.864123
36,0.705612,0.823997,0.780594,0.87251
37,0.712245,0.82616,0.78297,0.874392
38,0.704082,0.828125,0.797624,0.861052
39,0.710714,0.825213,0.788119,0.86597
40,0.711224,0.825457,0.778218,0.878801
41,0.716837,0.832851,0.797228,0.871806
42,0.718367,0.832502,0.793267,0.87582
43,0.711224,0.828542,0.793267,0.8671
44,0.701531,0.818828,0.77505,0.867849
45,0.713265,0.828893,0.788515,0.873629
46,0.685714,0.818051,0.789703,0.848511
47,0.710714,0.826033,0.784158,0.872631
48,0.713265,0.831503,0.794455,0.872174
49,0.715816,0.831993,0.799208,0.867584
50,0.716327,0.833368,0.801188,0.86824
51,0.709184,0.823161,0.779802,0.871625
52,0.705102,0.826884,0.80396,0.851153
53,0.713265,0.830902,0.800792,0.863365
54,0.708673,0.83105,0.792871,0.873092
55,0.720408,0.831271,0.79802,0.867413
56,0.714286,0.830494,0.791683,0.873307
57,0.714796,0.825731,0.777822,0.879928
58,0.716327,0.832817,0.79802,0.870787
59,0.706633,0.826419,0.792871,0.862931
60,0.708673,0.822039,0.771089,0.880199
61,0.715306,0.831147,0.790495,0.876207
62,0.706633,0.82397,0.784158,0.86804
63,0.716327,0.830995,0.785743,0.881778
64,0.718367,0.829605,0.785743,0.878654
65,0.718878,0.828709,0.786535,0.875661
66,0.7,0.820917,0.783366,0.862249
67,0.718367,0.832475,0.8,0.867698
68,0.707653,0.82743,0.795644,0.861862
69,0.709184,0.828666,0.796832,0.863149
70,0.722449,0.832293,0.792079,0.876808
71,0.697449,0.823407,0.785743,0.864865
72,0.701531,0.821311,0.793663,0.850955
73,0.714286,0.829541,0.794059,0.868341
74,0.717347,0.83118,0.789703,0.877255
75,0.709184,0.829097,0.794455,0.866897
76,0.718367,0.834765,0.808317,0.863002
77,0.704592,0.825312,0.79802,0.854538
78,0.681633,0.812284,0.790891,0.834866
79,0.720918,0.832542,0.798416,0.869715
80,0.714796,0.830344,0.797624,0.865864
81,0.709184,0.821203,0.773069,0.875729
82,0.719388,0.831153,0.792475,0.873799
83,0.709184,0.830838,0.813069,0.8494
84,0.712245,0.833025,0.803168,0.865188
85,0.704592,0.830243,0.806733,0.855164
86,0.705612,0.82543,0.77901,0.877733
87,0.711224,0.829857,0.803564,0.857928
88,0.711735,0.825026,0.783366,0.871366
89,0.718878,0.831217,0.790891,0.875877
90,0.704592,0.826727,0.801188,0.853947
91,0.717857,0.832494,0.785347,0.885663
92,0.711735,0.824395,0.776238,0.878924
93,0.704592,0.82846,0.802376,0.856298
94,0.693878,0.825929,0.809901,0.842604
95,0.709184,0.825862,0.791683,0.863126
96,0.702041,0.825696,0.799208,0.853999
97,0.722959,0.836693,0.805545,0.870347
98,0.692347,0.819679,0.788515,0.853408
99,0.712245,0.834154,0.804752,0.865786
100,0.721939,0.838484,0.805941,0.873766
