epoch,accuracy,f1_score,recall,precision
1,0.635204,0.769751,0.721584,0.824808
2,0.636224,0.771534,0.704158,0.853167
3,0.643367,0.779569,0.737426,0.826821
4,0.689796,0.8012,0.740594,0.872608
5,0.67551,0.803754,0.763168,0.848899
6,0.691837,0.804408,0.751683,0.865087
7,0.671429,0.80143,0.754455,0.854643
8,0.702041,0.8195,0.772277,0.872874
9,0.686224,0.804976,0.75604,0.860685
10,0.651531,0.789006,0.75604,0.824978
11,0.653061,0.797438,0.788911,0.806151
12,0.692347,0.811839,0.760396,0.870748
13,0.641837,0.787477,0.752079,0.826371
14,0.636224,0.774654,0.752871,0.797734
15,0.702041,0.815943,0.774257,0.862373
16,0.687245,0.816694,0.790495,0.844689
17,0.683163,0.811804,0.77901,0.84748
18,0.703061,0.816274,0.754851,0.888578
19,0.672449,0.81118,0.798812,0.823938
20,0.696939,0.815966,0.769109,0.868904
21,0.682143,0.792688,0.729901,0.867294
22,0.70051,0.8195,0.772277,0.872874
23,0.698469,0.822824,0.788119,0.860727
24,0.707143,0.821226,0.772277,0.876799
25,0.693367,0.816954,0.778614,0.859266
26,0.682143,0.815191,0.794851,0.836599
27,0.7,0.820545,0.787723,0.85622
28,0.703571,0.823312,0.794455,0.854344
29,0.704082,0.819624,0.767525,0.87931
30,0.680612,0.810656,0.783366,0.839915
31,0.696939,0.815806,0.78495,0.849186
32,0.697959,0.821651,0.784554,0.862429
33,0.677041,0.804058,0.753267,0.862194
34,0.697959,0.812433,0.755644,0.878453
35,0.694388,0.814491,0.774653,0.858648
36,0.67602,0.808155,0.78495,0.832773
37,0.707653,0.826051,0.786139,0.870232
38,0.708673,0.823677,0.782574,0.869336
39,0.706633,0.824383,0.787327,0.8651
40,0.708673,0.824901,0.784554,0.869622
41,0.703571,0.821226,0.772277,0.876799
42,0.70051,0.824959,0.793267,0.859288
43,0.705612,0.822311,0.770693,0.881341
44,0.708163,0.823161,0.779802,0.871625
45,0.693367,0.815297,0.768317,0.868397
46,0.682143,0.810246,0.78297,0.83949
47,0.691327,0.814137,0.775446,0.856893
48,0.693367,0.820241,0.79604,0.84596
49,0.670408,0.811032,0.786139,0.837553
50,0.703061,0.821935,0.792475,0.853669
51,0.672959,0.808563,0.785347,0.833193
52,0.681633,0.810469,0.760396,0.867601
53,0.708163,0.827086,0.790891,0.866753
54,0.697959,0.823529,0.787327,0.863222
55,0.705102,0.820265,0.772673,0.874104
56,0.681633,0.816252,0.791683,0.842394
57,0.696939,0.820054,0.780594,0.863716
58,0.695918,0.824053,0.805941,0.842999
59,0.705102,0.825488,0.795248,0.85812
60,0.704082,0.821556,0.775842,0.872995
61,0.70102,0.818881,0.779802,0.862084
62,0.704082,0.824815,0.792475,0.859905
63,0.702551,0.824551,0.790099,0.862143
64,0.69898,0.820704,0.78495,0.85987
65,0.686224,0.806747,0.767129,0.850681
66,0.709184,0.824344,0.777822,0.876786
67,0.708673,0.822547,0.780198,0.869757
68,0.709184,0.828624,0.795644,0.864458
69,0.706633,0.822379,0.78297,0.865966
70,0.696939,0.81822,0.768317,0.875056
71,0.709694,0.826931,0.792871,0.864048
72,0.697449,0.821061,0.790495,0.854086
73,0.705102,0.829358,0.805545,0.854622
74,0.705102,0.827148,0.798812,0.857568
75,0.694898,0.821363,0.794851,0.849704
76,0.691837,0.812358,0.78099,0.846352
77,0.692347,0.821951,0.800792,0.844259
78,0.676531,0.811008,0.793663,0.829127
79,0.704082,0.824087,0.791287,0.859725
80,0.703571,0.825462,0.79604,0.857143
81,0.682653,0.815795,0.793663,0.839196
82,0.690816,0.814846,0.778218,0.855091
83,0.701531,0.820609,0.77901,0.866902
84,0.710204,0.824453,0.790495,0.861459
85,0.680612,0.812966,0.799604,0.826781
86,0.703571,0.819416,0.788911,0.852375
87,0.678061,0.811988,0.804752,0.819355
88,0.698469,0.817231,0.773861,0.865751
89,0.710714,0.829752,0.795248,0.867387
90,0.69898,0.81072,0.760792,0.86766
91,0.706122,0.825715,0.783366,0.872904
92,0.711735,0.825175,0.794455,0.858365
93,0.714286,0.826943,0.790099,0.867391
94,0.708163,0.819891,0.77703,0.867758
95,0.713776,0.829459,0.798416,0.863014
96,0.696429,0.813595,0.763168,0.871157
97,0.7,0.822488,0.790891,0.856714
98,0.705612,0.825677,0.797228,0.856231
99,0.705102,0.827362,0.804752,0.851278
100,0.70051,0.817073,0.769505,0.87091
